               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.026818,           0.0095082,           0.0071586,             0.99418,             0.99878,             0.99492,             0.79428,            0.014121,           0.0043818,           0.0016915,           0.0094434,           0.0094434,           0.0094434
                  50,            0.026509,           0.0095646,           0.0064985,             0.98096,              0.9873,             0.99447,             0.77104,            0.015191,           0.0049383,           0.0017713,           0.0094205,           0.0094205,           0.0094205
                  51,            0.026337,           0.0094208,           0.0060779,             0.99622,                   1,               0.995,             0.78661,            0.013346,           0.0042399,           0.0017396,           0.0093971,           0.0093971,           0.0093971
                  52,            0.026452,           0.0093602,           0.0064265,             0.99806,             0.99833,             0.99487,             0.79689,            0.013397,           0.0042354,           0.0016025,           0.0093733,           0.0093733,           0.0093733
                  53,            0.026427,           0.0091756,            0.006857,             0.99081,             0.99691,             0.99487,             0.77215,            0.013673,            0.004379,           0.0015869,           0.0093491,           0.0093491,           0.0093491
                  54,            0.026003,           0.0091444,            0.006783,             0.98627,             0.99952,             0.99479,             0.79311,            0.014907,           0.0044085,           0.0016395,           0.0093245,           0.0093245,           0.0093245
                  55,            0.025997,           0.0094513,           0.0057756,             0.99755,             0.99625,             0.99444,             0.77249,            0.015673,           0.0043778,            0.001484,           0.0092995,           0.0092995,           0.0092995
                  56,             0.02592,           0.0092779,           0.0069067,             0.99796,                   1,             0.99444,             0.81559,            0.012324,           0.0041418,           0.0015816,            0.009274,            0.009274,            0.009274
                  57,            0.025783,           0.0090978,           0.0073279,             0.99097,             0.98397,             0.99135,             0.77522,             0.01468,           0.0048406,           0.0023279,           0.0092481,           0.0092481,           0.0092481
                  58,            0.026205,           0.0093412,           0.0085494,             0.99904,             0.99813,               0.995,             0.79656,            0.013621,           0.0041295,           0.0015844,           0.0092219,           0.0092219,           0.0092219
                  59,            0.027296,           0.0094475,           0.0061599,              0.9998,             0.99587,               0.995,             0.80848,            0.013264,           0.0042463,           0.0014718,           0.0091952,           0.0091952,           0.0091952
