               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.031402,            0.012347,           0.0095769,             0.97669,             0.98411,             0.98538,             0.70586,            0.016109,            0.005616,           0.0015189,           0.0092219,           0.0092219,           0.0092219
                  59,            0.033842,            0.012105,            0.010329,             0.96626,             0.95893,             0.98656,             0.71161,            0.017997,           0.0057007,           0.0021942,           0.0091952,           0.0091952,           0.0091952
                  60,            0.031795,            0.012387,           0.0095046,             0.97345,             0.98623,             0.98585,             0.70141,            0.018341,           0.0056083,           0.0015774,           0.0091681,           0.0091681,           0.0091681
                  61,            0.032096,            0.012245,            0.010416,             0.96122,             0.98747,             0.98157,             0.71568,            0.017268,           0.0055534,           0.0018342,           0.0091406,           0.0091406,           0.0091406
                  62,            0.032045,            0.012284,           0.0099394,             0.96835,             0.99763,             0.98437,              0.7342,            0.016109,           0.0055642,             0.00158,           0.0091127,           0.0091127,           0.0091127
                  63,            0.031566,            0.011736,            0.010424,             0.97132,             0.99603,              0.9845,             0.65402,            0.018683,           0.0056685,           0.0014838,           0.0090844,           0.0090844,           0.0090844
                  64,            0.031643,            0.011708,           0.0099689,             0.97364,              0.9996,             0.98294,             0.71741,            0.017832,           0.0056705,           0.0012724,           0.0090557,           0.0090557,           0.0090557
                  65,            0.031288,            0.011668,           0.0098814,             0.97446,             0.98377,             0.98533,             0.67248,            0.018329,           0.0054108,           0.0015671,           0.0090266,           0.0090266,           0.0090266
                  66,            0.031085,            0.012297,             0.01001,             0.94294,              0.9525,             0.97735,             0.68839,              0.0181,           0.0054069,           0.0013258,           0.0089972,           0.0089972,           0.0089972
                  67,            0.030943,            0.011994,              0.0105,             0.96456,             0.96218,             0.97708,             0.71584,            0.016706,           0.0057241,           0.0022979,           0.0089673,           0.0089673,           0.0089673
                  68,            0.030729,            0.011977,            0.010216,             0.97218,             0.99137,             0.98626,             0.69368,            0.017944,           0.0057151,           0.0014682,           0.0089371,           0.0089371,           0.0089371
                  69,            0.031734,            0.011613,            0.010973,               0.974,             0.98799,             0.98704,             0.74114,            0.016459,           0.0052366,           0.0018453,           0.0089065,           0.0089065,           0.0089065
                  70,            0.030842,            0.011712,            0.010712,             0.96621,              0.9838,             0.98258,             0.67922,            0.019585,           0.0056191,           0.0014961,           0.0088755,           0.0088755,           0.0088755
                  71,            0.030875,            0.011893,           0.0095498,              0.9714,             0.98976,             0.98873,             0.69437,            0.020238,           0.0058135,           0.0012801,           0.0088442,           0.0088442,           0.0088442
                  72,            0.031431,            0.011628,            0.010952,             0.96726,             0.98222,             0.98588,             0.72637,             0.01604,           0.0054048,           0.0017019,           0.0088124,           0.0088124,           0.0088124
                  73,            0.030239,            0.012314,            0.010937,             0.98186,             0.97688,             0.98742,             0.70052,            0.016671,           0.0051922,             0.00148,           0.0087804,           0.0087804,           0.0087804
                  74,            0.030359,            0.011157,           0.0092899,             0.96921,             0.98334,             0.98344,             0.75169,            0.015077,           0.0052015,            0.001189,           0.0087479,           0.0087479,           0.0087479
                  75,            0.029037,            0.011816,            0.010763,             0.97083,             0.99141,             0.98429,              0.7356,            0.015626,           0.0052963,           0.0016686,           0.0087151,           0.0087151,           0.0087151
                  76,            0.029009,            0.011811,           0.0090039,             0.97787,             0.98809,             0.98295,             0.74445,            0.015592,           0.0051549,           0.0013104,            0.008682,            0.008682,            0.008682
                  77,            0.029599,            0.011845,           0.0092264,             0.98235,             0.97559,             0.98837,             0.73443,            0.017013,           0.0051362,           0.0014177,           0.0086485,           0.0086485,           0.0086485
                  78,            0.030167,            0.011855,           0.0087902,             0.97208,              0.9976,             0.98717,             0.74576,             0.01501,           0.0050096,           0.0013457,           0.0086146,           0.0086146,           0.0086146
                  79,            0.029264,             0.01127,           0.0093266,             0.96843,             0.98758,             0.98579,             0.69996,            0.016047,           0.0051399,           0.0014739,           0.0085805,           0.0085805,           0.0085805
                  80,            0.029195,            0.011433,           0.0079662,             0.97214,             0.99345,             0.98614,             0.74512,            0.015392,           0.0050427,            0.001101,           0.0085459,           0.0085459,           0.0085459
                  81,            0.028679,            0.011104,           0.0092653,             0.97103,             0.99859,             0.98802,             0.75071,            0.014381,           0.0052869,           0.0012954,           0.0085111,           0.0085111,           0.0085111
                  82,            0.029806,            0.011266,           0.0098278,             0.97569,             0.99768,             0.98628,             0.73438,            0.015502,           0.0050057,             0.00122,           0.0084759,           0.0084759,           0.0084759
                  83,            0.029738,            0.011784,           0.0099417,             0.97686,             0.98847,             0.98636,             0.74836,            0.016077,           0.0051725,            0.001354,           0.0084404,           0.0084404,           0.0084404
                  84,            0.028403,            0.011444,            0.010749,             0.97205,             0.98635,             0.98716,             0.77718,            0.014284,            0.004976,           0.0012908,           0.0084046,           0.0084046,           0.0084046
                  85,            0.029076,            0.011336,            0.010202,              0.9781,             0.97968,             0.98799,             0.75149,              0.0153,           0.0051021,            0.001334,           0.0083684,           0.0083684,           0.0083684
                  86,            0.029696,            0.011296,           0.0085214,             0.97463,             0.99821,             0.98854,             0.74271,            0.015644,           0.0056052,           0.0011541,           0.0083319,           0.0083319,           0.0083319
                  87,            0.028508,            0.011174,           0.0086245,             0.97257,             0.99355,             0.98707,             0.77194,            0.014033,              0.0049,           0.0011346,           0.0082952,           0.0082952,           0.0082952
                  88,            0.026574,            0.010334,            0.007699,             0.96457,             0.97865,             0.98379,              0.7364,            0.015735,           0.0051096,           0.0020368,           0.0082581,           0.0082581,           0.0082581
                  89,             0.02876,            0.010572,           0.0068456,             0.97317,             0.99767,             0.98765,             0.77214,            0.014472,           0.0050322,           0.0011342,           0.0082207,           0.0082207,           0.0082207
                  90,            0.028094,            0.010906,           0.0085379,             0.98053,             0.98914,             0.98768,             0.78049,            0.013262,           0.0048025,           0.0010076,            0.008183,            0.008183,            0.008183
                  91,            0.027298,             0.01091,           0.0081904,              0.9781,             0.99998,             0.99028,             0.77523,            0.014007,            0.004865,           0.0010522,            0.008145,            0.008145,            0.008145
                  92,            0.027433,            0.011059,           0.0077176,              0.9734,             0.99855,             0.98961,             0.75599,             0.01584,           0.0047485,           0.0010941,           0.0081068,           0.0081068,           0.0081068
                  93,            0.026623,            0.011123,           0.0082563,             0.95379,             0.97999,              0.9871,             0.73847,             0.01579,            0.005192,           0.0018033,           0.0080682,           0.0080682,           0.0080682
                  94,            0.029074,            0.011055,           0.0078838,             0.97395,             0.99063,             0.99107,             0.77681,              0.0138,           0.0048591,           0.0012726,           0.0080294,           0.0080294,           0.0080294
                  95,            0.028132,            0.010585,           0.0070414,             0.97353,             0.99256,             0.98891,             0.76498,            0.015284,           0.0048426,           0.0015169,           0.0079903,           0.0079903,           0.0079903
                  96,            0.027062,            0.010979,           0.0086656,             0.98423,             0.99834,             0.98804,             0.78147,            0.013702,            0.004697,          0.00091091,           0.0079509,           0.0079509,           0.0079509
                  97,            0.025547,            0.010583,            0.006819,             0.97457,              0.9773,              0.9865,             0.76912,            0.013983,           0.0047392,           0.0012649,           0.0079112,           0.0079112,           0.0079112
                  98,            0.026642,            0.010798,           0.0077117,             0.97713,             0.99954,             0.98847,             0.78759,            0.013785,           0.0045751,          0.00091383,           0.0078713,           0.0078713,           0.0078713
                  99,            0.027735,            0.010656,           0.0084442,             0.97971,             0.99614,             0.98955,             0.78386,            0.013006,           0.0047843,           0.0012139,           0.0078311,           0.0078311,           0.0078311
                 100,            0.026888,            0.010683,           0.0069122,             0.97078,             0.99769,             0.98651,             0.77253,            0.014475,            0.004672,          0.00095144,           0.0077907,           0.0077907,           0.0077907
                 101,             0.02693,            0.010888,           0.0083342,             0.98059,              0.9939,             0.98786,             0.76548,            0.013688,           0.0044766,           0.0010703,             0.00775,             0.00775,             0.00775
                 102,            0.025979,            0.010716,           0.0063354,             0.98057,             0.99603,             0.98772,             0.78084,            0.013825,           0.0044969,          0.00092404,           0.0077091,           0.0077091,           0.0077091
                 103,            0.025423,            0.010543,           0.0080756,             0.96492,             0.98392,             0.98604,             0.77392,             0.01419,           0.0063506,           0.0012067,           0.0076679,           0.0076679,           0.0076679
                 104,            0.027023,            0.010394,           0.0079982,             0.97785,             0.99246,             0.98623,             0.78201,             0.01372,            0.005003,           0.0012702,           0.0076265,           0.0076265,           0.0076265
                 105,            0.025915,            0.010524,           0.0084989,             0.97462,             0.97995,             0.98788,             0.77547,            0.013128,           0.0047525,           0.0016277,           0.0075848,           0.0075848,           0.0075848
                 106,            0.027125,            0.010767,           0.0077568,              0.9839,             0.98805,             0.98857,             0.79105,            0.012703,           0.0046613,          0.00098806,            0.007543,            0.007543,            0.007543
                 107,            0.026981,            0.010605,             0.00907,             0.96721,             0.96763,              0.9874,             0.77795,            0.013026,           0.0047435,           0.0017048,           0.0075009,           0.0075009,           0.0075009
                 108,            0.026487,            0.010665,           0.0073489,             0.96577,             0.99805,              0.9882,             0.79466,            0.013587,           0.0049147,           0.0010733,           0.0074585,           0.0074585,           0.0074585
                 109,            0.027621,            0.010173,           0.0065082,             0.97371,             0.98874,             0.98823,             0.76195,             0.01423,           0.0050694,          0.00097956,            0.007416,            0.007416,            0.007416
